page,rank,product_name,price,listed_at,country,shop,shop_total_sales,category,commission,sales_period,sales_growth,gmv_period,total_sales,total_gmv
6,129,"Summer 2025 Simple Polarized Shades Sunglasses For Everyday Use, Summer Geometric Frame Double Beam Fashion Stylish Sunglasses, Travel Accessories, Trendy Casual Sunglasses, Polarizing Sunglasses, Fashionable Frames Sunglasses, National Day Offers",$3.60,,美国,JWH GLASSES,61.50万,太阳镜,8%,3278,-33.29%,$1.84万,34.67万,$293.46万
6,130,"8 Sizes Invisible Ring Adjuster, Soft Silicone Ring Sizer for Loose Rings, Comfortable Ring Spacer Fits Most Women's & Men's Rings",$8.70,,美国,Amberart US,11.06万,珠宝调节保护工具,15%,3240,1912.42%,$3.11万,9.83万,$92.38万
7,141,"ZENOTTIC Daily Anti Blue Light Glasses for Men & Women, Rectangle TR90 Frame with Ultra Clean Lense & Adjustable Spring Hinge,Summer Wins,Gaming Essential",$16.90,,美国,ZENOTTIC,10.21万,镜框与镜片,10%,3169,101.72%,$6.15万,3.32万,$61.68万
7,142,EVRY JEWELS Gold or Silver Plated Women's Hypoallergenic Forever Blessed Cross Necklace,$9.99,,美国,EvryJewels,38.74万,项链,15%,3155,2848.6%,$3.21万,8974,$7.92万
7,143,"Handmade Cow Tag Belt Key Holder with Copper Initial – Custom Western Keychain for Men & Women, Texas-Inspired Cowboy Keychain, Fashion Accessory for Bags, Keys & Gifts",$19.38 - 19.99,,美国,DFN INC,5.48万,钥匙扣,15%,3118,-25.3%,$6.65万,1.57万,$34.37万
7,144,"YWIGS Crochet Human Hair for Miracle Knots Human Hair Feather Crocher Hair Human Hair for Miracle Knots Boho Braids Burmese Curly Pre-Separated 60g / Bundle, 4 to 5 Bundles Recommended #backtoschool #backtoschoolshopping #sohochic",$39.00 - 300.00,,美国,YWIGS,12.06万,真人发接发&发片,5%,3116,-10.23%,$12.81万,3.26万,$175.83万
7,145,"EUNOIALENS Unisex Vintage Square Sunglasses 2-Pack - Transparent Plastic Full Rim Acetate Frames, Simple Eyewear Fashion Accessories, Shades for Gifting & Everyday Wear, Unisex Square Fit Value Backups Modern Trendy Sunglasses Acetate Sunglasses",$12.27,,美国,DS high quality goods,34.84万,太阳镜,15%,3108,10.41%,$4.35万,1.19万,$17.99万
7,146,【Lowest Price】Tahikie Burmese Curly Crochet Human Hair For Miracle Knots Human Hair Feather Water Wave Curly Wave Crochet Human Hair For Miracle Knots Pre-Separated Recommended#RefreshedLook#SummerWins #DealsForYouDays #TikTokShopBackToSchool#SohoChic,$48.00 - 398.00,,美国,Tahikie,27.82万,真人发接发&发片,1%,3106,-13.67%,$16.56万,1.18万,$60.01万
7,147,"New Fashion Retro Square Frame Glasses, High Quality Versatile Trendy Casual Eyeglasses for Daily Wear, Trendy Vintage Eyewear for Men & Women, Stylish Square Frames, Fashionable Frames Glasses",$2.60,,美国,Oticala,16.84万,太阳镜,8%,3103,147.45%,$8795.08,1.45万,$5.08万
7,148,Ramiss Brazilian Body Wave Straight Bundles Human Hair Quick Weave Bundles 2x6 4x4 Lace Closure with Bundles Virgin Human Hair Weave Bundles Traditional Sew in Extensions,$18.80,,美国,Ramiss Hair,7.53万,真人发接发&发片,6%,3067,-14.59%,$6.36万,9756,$19.51万
7,149,GANIA Letter Layered Ankle Bracelets for Women Dainty Chain Initial Pendant Anklets Set Hypoallergenic A-Z Gifts for Girls Trendy Adjustable Size Waterproof Costume Accessories,$12.00,,美国,GANIA,31.35万,脚链,10%,3064,-31.93%,$4.30万,12.99万,$159.75万
7,150,Custom 360 Wave Cap - The Royalty Cap,$12.96,,美国,Royalty Headwear,7.75万,帽子,20%,3050,-15.35%,$4.63万,6.33万,$94.95万
8,161,Elastic Band for Hair Wig Lace Melting 1 Pcs Non Slip Soft Hair Band For Women,$5.90 - 9.90,,美国,bangjazzhair,19.80万,发带发箍,3%,2916,11.47%,$1.91万,2.40万,$17.56万
8,162,"Copper Bracelet for Women, Pure Copper Magnetic Bracelets, Natural Unique Gemstone, Gifts for Women Trendy Stack Bangle Trendy Jewellery Accessories Valentine’s Day gift.",$6.59,,美国,Lunaire Threads,2.12万,手环与手链,14%,2905,2517.12%,$2.59万,5552,$5.79万
8,163,Lush Haute Headband Deep Wave Synthetic Wig 24 Inches Deep Wave Wigs for Women Glueless None Lace Wig with Headband Attached Synthetic Wigs,$28.99 - 29.20,,美国,Lush Haute,15.54万,化纤全机制头套,10%,2902,425.72%,$8.43万,9348,$26.81万
8,164,"5-Pack Cooling Helmet Liner Caps, Moisture-Wicking Breathable Pirate Head Wraps, Stretchy Adjustable Sports Outdoor Hat, Sweat-Absorbent Cooling Beanie for Motorcycle Cycling & Outdoor Riding, Adjustable Hat, Sports Outdoor Hats",$10.49,,美国,DDBD shop,21.91万,帽子,15%,2900,962.27%,$3.57万,4307,$5.17万
8,165,AISI HAIR 4PCS 16 inch Clip-in Curly Hair Extensions Natural Lace Weft Tangle-Free Fiber Secure Fit for Women's Everyday & Special Occasion Use Wavy Synthetic Hair Soft Synthetic Hair,$25.20,,美国,AISI HAIR BEAUTY,66.66万,化纤接发&发片,5%,2881,315.13%,$7.80万,4941,$13.75万
8,166,1 PC Adjustable Elastic Band for Wigs djustable Elastic Band for Wigs Removable Wig Band Nonslip Wig Strap Black Elastic Bands for Glueless Wig Making Wig Cap Accessories,$20.99,,美国,bangjazzhair,19.80万,发带发箍,3%,2879,10.48%,$6.74万,1.21万,$27.40万
8,167,SIPHEW Classic Sunglasses for Women Polarized Driving Anti-Glare UV Protection,$12.60,,美国,SunniesHub,7.76万,太阳镜,10%,2852,-9.32%,$3.85万,1.13万,$15.43万
8,168,GOO GOO Scalp Hair Fill-Ins Clip-Ins Hair Extensions Natural Coverage for Thinning Areas Remy Human Hair Lightweight and Invisible Straight Natural Summer Hair summer hairstyles #tiktokshopbacktoschool #sohochic,$47.63 - 117.89,,美国,GOO GOO,43.77万,真人发接发&发片,5%,2843,95.8%,$14.57万,6392,$31.78万
8,169,"Women's Elegant Geometric Print Two-Piece Set, Beach Sun Protection Long Robe & Scarf for All Seasons, Fashion Accessory, Beach Cover-Ups, Swimsuit Coverups, Swimwear Cover Up",$12.90,,美国,Trendy Moo,2.73万,围巾&围脖,8%,2841,141950%,$3.79万,3569,$5.16万
8,170,"Boho Multi-Layer Faux Pearl Necklace for Women, Vintage Statement Fashion Jewelry, Versatile Gift for Daily Wear and Parties, String of Pearls, Trendy Necklace, Pearl Necklace Strand, Accessory Necklace",$9.00,,美国,Nyareya,10.07万,项链,8%,2836,642.41%,$2.87万,1.03万,$10.88万
9,181,"1PCS Mini Wide-Tooth Hair Comb, Portable Pocket-Sized Black Haircare Tool for Travel, Combs for Hair Heatless Grooming Accessory, Hair Combs",$30.00,,美国,WIG QUEEN,14.45万,发夹发簪,5%,2781,50.98%,$10.07万,6994,$24.20万
9,182,"Kimorn Retro Small Oval Sunglasses for Women Men, Y2K Vintage Narrow Round Cateye Shades, UV400 Protection Summervibes",$16.99,,美国,AE Glasses,14.02万,太阳镜,15%,2778,42.61%,$3.57万,6475,$8.48万
9,183,Bling Hair Deep Wave Lace Frontal Wig Transparent 13x4 13x6 HD Lace Frontal Human Hair Wigs Curly Human Hair Lace Frontal Wigs For Women backtoschool,$78.77 - 268.66,,美国,Bling Hair Fashion,38.90万,真人发前蕾丝头套,1%,2756,34.57%,$23.51万,2.75万,$185.00万
9,184,EOM 14K Gold Plated Moissanite Waterproof Hip Hop Unisex Chained Ring Silver-Plated Jewelry Perfect Birthday Engagement Wedding Anniversary Gift for Men Women,$12.60 - 13.00,,美国,EOM.Jewelry,5.95万,戒指,8%,2755,228.76%,$3.69万,1.09万,$14.73万
9,185,KINHOPI Gold Big Hoop Earrings for Big Ear Men Cartilage Huggie Simple Clean Lightweight Gift Gold Plated Hoop men's accessories,$14.99,,美国,KINHOPI,3.27万,耳环,10%,2750,40.59%,$4.35万,1.57万,$24.54万
9,186,"New 2026 Ramiss Burmese Curly Crochet Human Hair for Mircale Knots Boho Braids 4-5 Packs for Full Head, Pre-Separated 60g/Pack Time-Saving, 50 Strands/Pack Water Wave Machine Made Feather Crochet Human Hair Extension Pre Looped#SummerWins #DealsForYouDays",$35.50,,美国,Ramiss Hair,7.53万,真人发接发&发片,6%,2744,84.78%,$11.00万,1.01万,$45.61万
9,187,"Simple Style Plain Color Skull Beanie for Men & Women, Casual Sportive Breathable Stretchy Beanie Hat for Outdoor Sports for Men & Women, Fitted Hats, Head Cover",$2.00 - 5.80,,美国,JOYOYO Beauty,19.93万,帽子,8%,2718,43.89%,$5115.09,12.44万,$133.69万
9,188,"A special gift: a breathable ankle support strap, ankle brace, or sports ankle support strap, suitable for sports, fitness, running, rock climbing, cycling, tennis, healthcare, and other occasions. (SpringStatements)",$10.48,,美国,DDBD shop,21.91万,服饰配件套装,14%,2714,162.48%,$3.31万,1.35万,$16.62万
9,189,"5 Pairs 14K Gold Plated Huggie Small Hoop Earrings Set for Women Men, Hypoallergenic Hoop Earrings for Cartilage, Lightweight Stackable Earrings for Sensitive Ears",$13.00 - 25.00,,美国,YIONIFI official,2.04万,耳环,12%,2708,67.89%,$3.88万,9494,$13.17万
9,190,"Women's High-End Sense Personality Fashion Big Brand, P Polygonal High-End Sunglasses Frame,Men's Fashion Sunglasses",$15.59,,美国,moqushangmaoshop,1.96万,镜框与镜片,12%,2706,306.92%,$4.04万,5834,$8.48万
